label×editing_rhythm,support,base_error_rate,lens_error_rate,delta_error
0×fast,39,0.28205128205128205,0.20512820512820512,-0.07692307692307693
0×moderate,41,0.3170731707317073,0.2682926829268293,-0.04878048780487804
0×slow,124,0.3387096774193548,0.27419354838709675,-0.06451612903225806
0×very_fast,34,0.14705882352941177,0.08823529411764706,-0.058823529411764705
1×fast,29,0.06896551724137931,0.06896551724137931,0.0
1×moderate,26,0.038461538461538464,0.15384615384615385,0.11538461538461539
1×slow,212,0.03773584905660377,0.07547169811320754,0.03773584905660377
1×very_fast,37,0.10810810810810811,0.13513513513513514,0.02702702702702703
