timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/11/29 00:05:21.782, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:05:26.784, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:05:31.785, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:05:36.787, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:05:41.789, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:05:46.791, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:05:51.792, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:05:56.794, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:01.796, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:06.797, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:11.799, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:16.801, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:21.802, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:26.803, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:31.805, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:36.807, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:41.809, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:46.811, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:51.812, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:06:56.814, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:01.815, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:06.818, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:11.819, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:16.821, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:21.823, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:07:26.824, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4375 MiB
