procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 147560 99537552  26836 875054848    0    0     0  2000 48457 14143 15  0 84  0  0
 4  0 147560 99499024  26836 875054848    0    0     0   496 61367 15547 19  0 80  0  0
132  0 147560 99347456  26836 875054848    0    0     0    13 69958 16075 23  1 76  0  0
 4  0 147560 99230096  26836 875054848    0    0     0     0 50333 14611 16  0 84  0  0
131  0 147560 99076616  26836 875054848    0    0     0     0 55338 16036 18  0 82  0  0
134  0 147560 98961304  26836 875054912    0    0     0     0 71404 15638 23  1 76  0  0
 4  0 147560 98926560  26836 875054912    0    0     0   184 49536 15758 16  0 84  0  0
 8  0 147560 98864648  26836 875054912    0    0     0   172 65526 15044 21  1 78  0  0
132  0 147560 98736336  26836 875054912    0    0     0     0 49196 15943 15  0 84  0  0
 4  0 147560 98573160  26836 875054976    0    0     0     0 49602 16852 15  0 85  0  0
131  0 147560 98195424  26836 875054976    4    0     4     0 57504 12138 19  1 81  0  0
 3  0 147560 98560944  26836 875054976    0    0     0   100 51554 11011 17  1 82  0  0
 3  0 147560 98557728  26836 875054976    0    0     0     0 41384 11050 13  0 87  0  0
 3  0 147560 98559304  26836 875054976    0    0     0     2 39946 12228 12  0 88  0  0
 5  0 147560 98560248  26836 875055040    0    0     0   161 58078 10380 19  1 80  0  0
 3  0 147560 98550160  26836 875066112    0    0     0     3 55494 12310 18  1 81  0  0
 3  0 147560 98572608  26836 875066560    0    0     0 11632 59581 16252 19  0 80  0  0
 4  0 147560 98567064  26836 875066560    0    0     0    12 51041 14310 16  0 83  0  0
 3  0 147560 98568816  26836 875066624    0    0     0     0 64996 8882 20  1 80  0  0
 3  0 147560 98561784  26836 875066816    0    0     0     0 57333 14888 18  0 82  0  0
130  0 147560 98562104  26836 875066944    0    0     0   759 43203 12826 14  0 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 147560 98563200  26836 875067072    0    0     0  1580 70591 12040 23  1 76  0  0
 3  0 147560 98557720  26836 875067136    0    0     0  3131 49509 13916 15  0 85  0  0
 3  0 147560 98534064  26836 875067200    0    0     0    76 40337 11626 13  0 87  0  0
130  0 147560 97880648  26836 875067200    0    0     0     0 75213 11497 25  1 74  0  0
130  0 147560 98534144  26836 875067264    0    0     0     0 46496 12211 15  0 85  0  0
 3  0 147560 98533896  26836 875067264    0    0     0   446 56227 14859 16  0 84  0  0
 3  0 147560 97879064  26836 875067520    0    0     0   116 70688 12523 24  1 75  0  0
 3  0 147560 98531712  26836 875067520    0    0     0    32 48302 13656 15  0 84  0  0
 3  0 147560 98531552  26836 875067584    0    0     0     3 55519 14348 18  0 82  0  0
130  0 147560 98530608  26836 875067584    0    0     0    31 71848 12170 24  1 75  0  0
 3  0 147560 98530256  26836 875067584    0    0     0   390 49059 12907 16  0 84  0  0
 3  0 147560 98525360  26836 875067584    0    0     0  2012 49183 13289 15  0 85  0  0
130  0 147560 98524640  26836 875067648    0    0     0     0 66583 9833 22  1 77  0  0
 4  0 147560 99414960  26836 875067648    0    0     0     0 79944 22198 16  0 84  0  0
 3  0 147560 99501584  26836 875067648    0    0     0     0 183880 16095 15  0 85  0  0
131  0 147560 99166360  26836 875067776    0    0     0   293 371983 33562 25  1 74  0  0
 4  0 147560 99476168  26836 875067776    0    0     0  2117 308089 23947 21  1 78  0  0
 3  0 147560 99476464  26836 875067776    0    0     0     0 198419 22238 13  1 86  0  0
132  0 147560 99475392  26836 875067840    0    0     0    50 99421 28247 19  1 80  0  0
 5  0 147560 99470464  26836 875067968    0    0     0     0 302489 23232 28  1 71  0  0
 4  0 147560 99469728  26836 875068096    0    0     0     0 71200 27781 17  1 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 99469280  26836 875068096    0    0     0   614 53871 17629 16  0 84  0  0
 3  0 147560 99469496  26836 875068096    0    0     0    62 67746 15478 22  1 77  0  0
130  0 147560 99461360  26836 875068160    0    0     0     0 55441 15679 17  0 82  0  0
 5  0 147560 99460656  26836 875068160    0    0     0     0 48302 14512 14  0 85  0  0
 6  0 147560 99480080  26836 875068160    0    0     0     0 73356 13918 23  1 76  0  0
 3  0 147560 99479264  26836 875068160    0    0     0   786 39080 11330 12  0 88  0  0
 3  0 147560 99479592  26836 875068160    0    0     0    72 58255 14858 18  0 82  0  0
 3  0 147560 99482424  26836 875068160    0    0     0     0 58190 10060 19  1 80  0  0
 3  0 147560 99479496  26836 875068224    0    0     0   532 40937 15729 12  0 88  0  0
 3  0 147560 99479136  26836 875068352    0    0     0    61 48001 13685 15  0 85  0  0
130  0 147560 98823280  26836 875068352    0    0     0   556 62431 10253 21  1 78  0  0
 3  0 147560 99476496  26836 875068352    0    0     0     0 42347 11138 13  0 87  0  0
130  0 147560 99475744  26836 875068416    0    0     0  1528 42248 12640 13  0 87  0  0
 3  0 147560 99475744  26836 875068416    0    0     0     0 39023 10561 13  0 87  0  0
132  0 147560 99474656  26836 875068480    0    0     0   254 62721 10230 21  1 78  0  0
 5  0 147560 99474832  26836 875068416    0    0     0     0 52084 11507 17  1 82  0  0
 3  0 147560 99476576  26836 875068480    0    0     0     0 52175 15907 16  0 83  0  0
 3  0 147560 99475376  26836 875068480    0    0     0  1968 46822 13455 15  0 85  0  0
 3  0 147560 99475312  26836 875068480    0    0     0     0 67136 11073 23  1 77  0  0
136  0 147560 99425520  26836 875068480    0    0     0    71 51911 14122 17  0 83  0  0
 4  0 147560 99291848  26836 875068480    0    0     0    10 53015 18406 16  0 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
131  0 147560 99168272  26836 875068544    0    0     0   249 72405 14020 24  1 75  0  0
135  0 147560 99018608  26836 875068544    0    0     0   175 48738 15442 15  0 84  0  0
 6  0 147560 98891616  26836 875068544    0    0     0     0 42858 13913 13  0 87  0  0
136  0 147560 98857688  26836 875068544    0    0     0     0 126069 15793 17  0 83  0  0
132  0 147560 98794912  26836 875068544    0    0     0     0 186341 15425 25  1 74  0  0
 5  0 147560 98635784  26836 875068608    0    0     0     0 59893 19555 18  0 81  0  0
136  0 147560 98474080  26836 875068608    0    0     0    91 169902 17185 19  1 80  0  0
131  0 147560 98462888  26836 875068608    0    0     0   127 144801 12324 23  1 76  0  0
 8  0 147560 98464896  26836 875068608    0    0     0     0 46867 13404 14  0 85  0  0
 3  0 147560 98464272  26836 875068800    0    0     0     0 44699 12042 13  0 86  0  0
 3  0 147560 98482648  26836 875068864    0    0     0     0 275096 12733 26  1 73  0  0
130  0 147560 98481960  26836 875068992    0    0     0     0 49627 12365 14  0 86  0  0
 3  0 147560 98480704  26836 875069056    0    0     0     2 70303 12710 14  0 85  0  0
 3  0 147560 98491584  26836 875069120    0    0     0   658 299122 11603 28  1 70  0  0
131  0 147560 98488904  26836 875069184    0    0     0    12 104876 13498 17  0 83  0  0
 3  0 147560 98490192  26836 875069184    0    0     0     0 68517 14791 17  0 83  0  0
 3  0 147560 97963120  26836 875069248    0    0     0     0 362205 9693 28  1 71  0  0
 3  0 147560 98478496  26836 875069120    0    0     0   245 75432 12038 14  0 86  0  0
 3  0 147560 98477064  26836 875069184    0    0     0   402 79311 16040 15  0 84  0  0
130  0 147560 98496688  26836 875069184    0    0     0  3073 83551 15181 14  0 85  0  0
130  0 147560 98494256  26836 875069248    0    0    20    18 328997 12802 28  1 71  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 147560 98482712  26836 875071488    0    0     8     0 60794 13727 17  0 83  0  0
130  0 147560 98476528  26836 875074304    8    0     8     0 92605 14128 25  1 74  0  0
130  0 147560 98471264  26836 875076544    0    0     0  2328 50828 13843 16  0 83  0  0
131  0 147560 98464704  26836 875078464    0    0     8     3 52144 14782 16  0 83  0  0
130  0 147560 97808048  26836 875079808    0    0     0     0 72423 9905 21  1 78  0  0
 3  0 147560 98459728  26836 875080768    0    0     0     0 50965 12891 15  0 84  0  0
 3  0 147560 98456000  26836 875081088    0    0     0    12 53719 14633 17  0 82  0  0
130  0 147560 98447104  26836 875083776    0    0     0  1486 62307 9678 19  1 80  0  0
 3  0 147560 98446512  26836 875084096    0    0     0    32 41024 11695 13  0 87  0  0
130  0 147560 98439136  26836 875084736    0    0     0     0 42620 11560 13  0 87  0  0
 3  0 147560 99341032  26836 875085440    0    0     0     0 69100 17552 12  0 87  0  0
130  0 147560 99426648  26836 875085568    0    0     0   168 70346 13909 19  1 80  0  0
 4  0 147560 99400680  26836 875086080    0    0     0   291 64922 30301 15  1 84  0  0
 4  0 147560 99398216  26836 875086400    0    0     0   201 51868 27341 14  1 85  0  0
131  0 147560 98744832  26836 875086592    0    0     0     0 69217 20582 21  1 77  0  0
 4  0 147560 99398688  26836 875086720    0    0     0     0 54815 25123 16  1 83  0  0
 5  0 147560 99384216  26836 875099392    0    0     0     0 54125 22558 15  1 84  0  0
 3  0 147560 99385032  26836 875099776    0    0     0  1724 64407 27663 19  1 80  0  0
130  0 147560 99252592  26836 875100672    0    0     0 11640 73654 13334 18  0 82  0  0
 3  0 147560 99382128  26836 875100992    0    0     0    82 78459 10827 21  1 78  0  0
130  0 147560 99377648  26836 875101120    0    0     0    18 61936 16683 17  0 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 99377504  26836 875101184    0    0     0     0 55348 11892 15  0 85  0  0
 4  0 147560 99397968  26836 875101888    0    0     0     0 90951 15874 23  1 76  0  0
 4  0 147560 99396552  26836 875102080    0    0     0   831 51468 15489 16  0 83  0  0
 3  0 147560 99404648  26836 875091904    0    0     0     5 49211 15802 15  0 85  0  0
 4  0 147560 99454304  26836 875091904    0    0     0     0 102054 11441 23  1 76  0  0
 4  0 147560 99472752  26836 875070720    0    0     0   500 47357 14333 15  0 85  0  0
 3  0 147560 99472424  26836 875070720    0    0     0    18 46073 14419 14  0 85  0  0
 3  0 147560 99473776  26836 875070720    0    0     0  1647 74989 10362 21  1 78  0  0
 3  0 147560 99472624  26836 875070720    0    0     0    23 60696 12133 13  0 87  0  0
 3  0 147560 99469560  26836 875070720    0    0     0     0 79272 13808 14  0 85  0  0
 3  0 147560 99467768  26836 875070720    0    0     0     0 501208 9162 25  1 74  0  0
 3  0 147560 99467776  26836 875070720    0    0     0     0 225748 11396 12  0 87  0  0
130  0 147560 99467104  26836 875070720    0    0     0  1976 234310 15377 18  1 81  0  0
130  0 147560 98811144  26836 875070720    0    0     0     0 217784 14435 26  1 73  0  0
130  0 147560 99465376  26836 875070784    0    0     0     0 55125 14449 15  0 85  0  0
 3  0 147560 99465824  26836 875070784    0    0     0     0 45495 12126 15  0 85  0  0
135  0 147560 99406320  26836 875070784    0    0     0    94 231545 13770 21  0 79  0  0
131  0 147560 99317600  26836 875070784    0    0     0    10 207196 16201 24  1 75  0  0
 5  0 147560 99170672  26836 875070784    0    0     0  1750 60630 17299 19  0 81  0  0
134  0 147560 99000896  26836 875070784    0    0     0     0 155582 14592 19  0 81  0  0
133  0 147560 98912752  26836 875070784    0    0     0     0 222888 12673 24  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
135  0 147560 98877992  26836 875070784    0    0     0     0 67698 20075 20  0 79  0  0
135  0 147560 98745920  26836 875070784    0    0     0     0 236017 17942 22  1 78  0  0
 9  0 147560 98670000  26836 875070848    0    0     0   148 177695 12064 20  1 79  0  0
130  0 147560 98505488  26836 875070784    0    0     0     2 50867 16649 15  0 85  0  0
130  0 147560 98506136  26836 875070784    0    0     0   139 54271 14709 16  0 83  0  0
 3  0 147560 98508640  26836 875070784    0    0     0     3 364254 7850 27  1 72  0  0
130  0 147560 98506472  26836 875070784    0    0     0     0 55169 14429 17  0 83  0  0
130  0 147560 98505904  26836 875070784    0    0     0    92 54011 15147 16  0 83  0  0
 3  0 147560 98504352  26836 875070784    0    0     0     0 309532 8454 24  1 76  0  0
 3  0 147560 98503424  26836 875070784    0    0     0     0 48454 12326 14  0 86  0  0
131  0 147560 98510104  26836 875070784    0    0     0     2 43227 11773 13  0 87  0  0
131  0 147560 98515888  26836 875070784    0    0     0    10 43416 12053 12  0 87  0  0
 3  0 147560 98518104  26836 875070784    0    0     0   200 176103 9150 23  1 76  0  0
 3  0 147560 98509824  26836 875070848    0    0     0   165 48403 13976 15  0 85  0  0
 3  0 147560 98509952  26836 875070848    0    0     0   703 36233 10156 11  0 89  0  0
132  0 147560 97854672  26836 875070848    0    0     0    15 145697 11400 23  1 76  0  0
 3  0 147560 98510368  26836 875070848    0    0     0   114 65670 14297 14  0 85  0  0
 3  0 147560 98496080  26836 875082368    0    0     0  3132 92610 12901 19  1 80  0  0
 3  0 147560 98494480  26836 875082368    0    0     0 13564 44866 13121 14  0 86  0  0
130  0 147560 97912112  26836 875082368    0    0     0    60 119141 12463 22  1 78  0  0
131  0 147560 98491320  26836 875082368    0    0     0    69 79757 13160 17  0 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 147560 98491456  26836 875082432    0    0     0     0 101507 12483 15  0 85  0  0
 3  0 147560 98491008  26836 875082432    0    0     0     0 182076 12997 15  0 85  0  0
 3  0 147560 98466032  26836 875082432    0    0     0     0 692240 9824 26  1 72  0  0
 3  0 147560 98465896  26836 875082432    0    0     0    88 70913 12792 15  0 85  0  0
 4  0 147560 98463920  26836 875082432    0    0     0   155 63389 12377 14  0 85  0  0
 4  0 147560 98529168  26836 875082432    0    0     0     3 185919 12338 26  1 73  0  0
130  0 147560 98497112  26836 875082432    0    0     0     0 48999 13317 16  0 84  0  0
 8  0 147560 99376792  26836 875082432    0    0     0     0 89316 21228 19  0 80  0  0
130  0 147560 99463232  26836 875082432    0    0     0   196 181763 14454 25  1 74  0  0
13  0 147560 99436784  26836 875082432    0    0     0   271 77016 33049 19  1 80  0  0
132  0 147560 99307160  26836 875082432    0    0     0  1645 121805 25413 19  1 80  0  0
 4  0 147560 99436592  26836 875082432    0    0     0     0 149525 21245 19  1 79  0  0
 5  0 147560 99437040  26836 875082432    0    0     0     0 63993 25336 16  1 83  0  0
130  0 147560 99408784  26836 875082496    0    0     0  1574 120029 26824 20  1 80  0  0
 3  0 147560 99431736  26836 875082496   16    0    16    18 88379 22314 21  1 78  0  0
 4  0 147560 99432752  26836 875082496    0    0     0    96 52807 14690 17  0 83  0  0
130  0 147560 99332664  26836 875082496    0    0     0     3 95531 13377 18  0 81  0  0
 4  0 147560 99411520  26836 875082496    0    0     0   152 86900 9426 19  1 80  0  0
 3  0 147560 99409536  26836 875082496    0    0     0     0 48627 12767 15  0 84  0  0
130  0 147560 99299616  26836 875082624    0    0     0    89 164027 16609 22  1 77  0  0
 3  0 147560 99431568  26836 875082560    0    0     0     3 135796 12033 24  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 99431696  26836 875082560    0    0     0     0 41226 11216 13  0 87  0  0
 4  0 147560 99435984  26836 875082560    0    0     0     0 44659 12202 14  0 85  0  0
 6  0 147560 99435000  26836 875082560    0    0     0     0 164951 8974 23  1 77  0  0
 5  0 147560 99433232  26836 875082560    0    0     0  1420 51564 13077 17  0 83  0  0
 3  0 147560 99432488  26836 875082560    0    0     0    12 42851 12377 13  0 86  0  0
131  0 147560 99470784  26836 875082624    4    0     4   360 153915 11235 25  1 74  0  0
 4  0 147560 99466472  26836 875082624    0    0     0     0 55619 15365 18  0 82  0  0
130  0 147560 99455408  26836 875082624    0    0     0     0 61855 12816 15  0 85  0  0
130  0 147560 99455888  26836 875082624    0    0     0  3868 124381 7446 20  1 80  0  0
 4  0 147560 99455888  26836 875082624    0    0     0     2 45495 12367 15  0 85  0  0
 4  0 147560 99456112  26836 875082624    0    0     0     0 42717 12339 14  0 86  0  0
130  0 147560 99455984  26836 875082624    0    0     0    10 61335 10066 21  1 78  0  0
130  0 147560 99455984  26836 875082624    0    0     0     0 47211 12226 15  0 84  0  0
 5  0 147560 99387392  26836 875082624    0    0     0   174 48247 14683 15  0 85  0  0
135  0 147560 99044304  26836 875082624    0    0     0     3 54779 15381 17  1 82  0  0
 5  0 147560 99122480  26836 875082624    0    0     0     0 51623 11334 17  1 82  0  0
131  0 147560 98948288  26836 875094144    0    0     0     0 64803 16974 20  1 79  0  0
 5  0 147560 98859816  26836 875094144    0    0     0   214 59521 16384 19  0 81  0  0
132  0 147560 98178752  26836 875094208    0    0     0 11692 167099 15836 25  1 74  0  0
 4  0 147560 98758216  26836 875094208    0    0     0     0 76135 16781 17  0 83  0  0
 6  0 147560 98601776  26836 875094208    0    0     0     0 73726 16099 15  0 84  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 147560 98455152  26836 875094208    0    0     0     0 52021 17596 14  0 85  0  0
130  0 147560 98456160  26836 875094208    0    0     0     0 188470 9577 25  1 73  0  0
 3  0 147560 98454024  26836 875094208    0    0     0   156 48031 13348 15  0 85  0  0
 3  0 147560 98453112  26836 875094208    0    0     0  1572 39849 11429 12  0 87  0  0
130  0 147560 97798400  26836 875094208    0    0     0     0 241431 10951 24  1 75  0  0
 3  0 147560 98453040  26836 875094208    0    0     0    49 172297 11651 16  0 84  0  0
 4  0 147560 98453136  26836 875094208    0    0     0     0 59474 14348 17  0 82  0  0
130  0 147560 98078960  26836 875094208    0    0     0     9 177816 12658 23  1 77  0  0
 4  0 147560 98458552  26836 875094208    0    0     0   103 74200 10833 17  1 82  0  0
 3  0 147560 98458304  26836 875094272    0    0     0     0 48974 14320 15  0 85  0  0
 3  0 147560 98457464  26836 875094272    0    0     0   148 43245 12911 14  0 86  0  0
 3  0 147560 98457824  26836 875094272    0    0     0     0 212380 9488 25  1 74  0  0
 3  0 147560 98458872  26836 875094272    0    0     0   315 55501 15435 18  0 82  0  0
 3  0 147560 98454416  26836 875094272    0    0     0   114 53126 15916 16  0 84  0  0
 3  0 147560 98452352  26836 875094272    0    0     0  3096 258921 8549 25  1 74  0  0
 3  0 147560 98430080  26836 875094272    0    0     0    20 53506 14000 16  0 83  0  0
 4  0 147560 98427760  26836 875094272    0    0     0     0 53825 13903 17  0 83  0  0
 3  0 147560 98458496  26836 875094272    0    0     0    74 263938 10597 25  1 74  0  0
 4  0 147560 98455288  26836 875094272    0    0     0  3835 49778 13035 15  0 84  0  0
 3  0 147560 98454768  26836 875094272    0    0     0     0 53834 14723 17  0 83  0  0
 4  0 147560 98458320  26836 875094272    0    0     0     0 279154 9388 27  1 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
131  0 147560 98452256  26836 875094272    0    0     0     0 55337 15250 16  0 84  0  0
130  0 147560 98451360  26836 875094272    0    0     0     9 61007 15611 19  0 81  0  0
 3  0 147560 98450928  26836 875094272    0    0     0   194 264140 11859 27  1 73  0  0
 3  0 147560 98447464  26836 875094272    0    0     0   160 53739 14457 16  0 84  0  0
 8  0 147560 99349704  26836 875094272    0    0     0     0 80401 20055 15  0 85  0  0
130  0 147560 99175976  26836 875094272    0    0     0   164 185247 14504 21  1 79  0  0
130  0 147560 99410448  26836 875094272    0    0     0   290 161898 32392 20  1 79  0  0
 5  0 147560 99411328  26836 875094336    0    0     0     3 69955 28442 20  1 79  0  0
 4  0 147560 99409192  26836 875094336    0    0     0   168 244030 22463 23  1 76  0  0
 4  0 147560 99409328  26836 875094336    0    0     0     0 77790 25325 13  1 86  0  0
131  0 147560 99409952  26836 875094336    0    0     0     0 68238 25798 14  1 86  0  0
 3  0 147560 99407152  26836 875094336    0    0     0  1861 77596 27029 16  1 84  0  0
 3  0 147560 99409016  26836 875094336    0    0     0    97 595849 7610 25  1 74  0  0
 3  0 147560 99408024  26836 875094336    0    0     0   111 50111 11782 13  0 86  0  0
 3  0 147560 99407952  26836 875094336    0    0     0     0 54355 12325 13  0 86  0  0
 3  0 147560 99406504  26836 875094336    0    0     0     0 45180 11445 12  0 88  0  0
 3  0 147560 99429120  26836 875094336    0    0     0     7 785007 9352 27  1 71  0  0
 3  0 147560 99431120  26836 875094336    0    0     0   648 254295 12070 19  1 80  0  0
130  0 147560 99430304  26836 875094400    0    0     0    35 127309 16787 16  0 84  0  0
 3  0 147560 99429720  26836 875094400    0    0     0  1488 189035 13644 15  0 84  0  0
130  0 147560 99299664  26836 875094400    0    0     0     0 348661 11979 20  1 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 99430152  26836 875094400    0    0     0   593 305069 9496 20  1 79  0  0
130  0 147560 99428640  26836 875094400    0    0     0     0 91161 16436 18  0 82  0  0
130  0 147560 99074816  26836 875094400    0    0     0   422 152607 12929 22  1 77  0  0
 3  0 147560 99428912  26836 875094400    0    0     0    18 77140 11002 18  1 82  0  0
 3  0 147560 99429104  26836 875094400    0    0     0  1972 51475 13090 17  0 83  0  0
130  0 147560 99402624  26836 875094400    0    0     0     0 118230 14648 17  0 82  0  0
 3  0 147560 99438144  26836 875094400    0    0     0     2 98634 11931 22  1 77  0  0
 4  0 147560 99438688  26836 875094400    0    0     0     0 58824 15856 19  0 81  0  0
 3  0 147560 99438304  26836 875094400    0    0     0     0 215098 10324 25  1 74  0  0
 3  0 147560 99438368  26836 875094400    0    0     0   116 46511 12813 15  0 85  0  0
 7  0 147560 99358608  26836 875094400    0    0     0    58 46887 14775 15  0 85  0  0
 4  0 147560 99248888  26836 875094400    0    0     0     5 223883 14469 27  1 72  0  0
131  0 147560 99072656  26836 875094400    0    0     0     0 62567 17994 20  0 80  0  0
 4  0 147560 98898472  26836 875094400    0    0     0     0 56926 17013 16  0 83  0  0
 5  0 147560 98841360  26836 875094400    0    0     0   356 170596 10473 22  1 77  0  0
 6  0 147560 98797008  26836 875094400    0    0     0     0 42028 15366 13  0 87  0  0
131  0 147560 98698848  26836 875094400    0    0     0     0 60722 18840 18  0 82  0  0
 4  0 147560 98017568  26836 875094400    0    0     0     0 202543 15299 26  1 73  0  0
 3  0 147560 98438736  26836 875094400    0    0     0     0 50244 15313 15  0 84  0  0
130  0 147560 98438784  26836 875094400    0    0     0    64 46443 13022 15  0 85  0  0
130  0 147560 97786784  26836 875094400    0    0     0   174 130868 11064 22  1 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 147560 98438544  26836 875094400    0    0     0     0 92483 11869 17  0 83  0  0
130  0 147560 98437504  26836 875094400    0    0     0     0 50298 12830 16  0 84  0  0
130  0 147560 98065528  26836 875094400    0    0     0     0 157073 11602 21  1 79  0  0
 3  0 147560 98437136  26836 875094400    0    0     0     0 99287 10194 19  1 81  0  0
 6  0 147560 98443936  26836 875094400    0    0     0   105 38800 11187 12  0 87  0  0
 3  0 147560 98444368  26836 875094400    0    0     0     3 60802 11669 14  0 85  0  0
 5  0 147560 98440064  26836 875094464    0    0     0     0 194157 13163 23  1 76  0  0
130  0 147560 98437520  26836 875094464    0    0     0     0 75183 14394 16  0 83  0  0
130  0 147560 97882608  26836 875094464    0    0     0     0 173184 11642 23  1 76  0  0
130  0 147560 98438264  26836 875094464    0    0     0  1977 107454 11392 15  0 84  0  0
 3  0 147560 98439696  26836 875094464    0    0     0     0 44811 11648 12  0 88  0  0
 3  0 147560 98437432  26836 875094464    0    0     0  3054 45492 13770 14  0 86  0  0
 4  0 147560 98437560  26836 875094464    0    0     0    18 147562 9591 22  1 77  0  0
 3  0 147560 98439016  26836 875094464    0    0     0     0 44987 12693 14  0 85  0  0
 3  0 147560 98438560  26836 875094464    0    0     0  2053 42950 11660 13  0 86  0  0
130  0 147560 98304688  26836 875094464    0    0     0     0 89499 10755 15  0 84  0  0
 3  0 147560 98436120  26836 875094464    0    0     0     0 93896 10275 18  1 81  0  0
 3  0 147560 98424136  26836 875105600    0    0     0     0 93547 11212 17  1 83  0  0
130  0 147560 98421480  26836 875106048    0    0     0     0 56537 14736 17  0 83  0  0
 3  0 147560 98421312  26836 875106048    0    0     0 11639 57943 13848 18  0 82  0  0
 4  0 147560 98421400  26836 875106048    0    0     0   131 148593 9426 25  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
131  0 147560 98462416  26836 875106048    0    0     0     0 53153 14108 16  0 84  0  0
 3  0 147560 99381920  26836 875106048    0    0     0     0 84879 20852 16  0 84  0  0
 3  0 147560 99399056  26836 875106048    0    0     0     0 151012 11347 23  1 77  0  0
 4  0 147560 99375888  26836 875106048    0    0     0   366 76822 33585 18  1 81  0  0
 4  0 147560 99413864  26836 875106048    0    0     0    77 55844 26660 15  1 84  0  0
 4  0 147560 99381808  26836 875106048    0    0     0     0 231189 18811 23  1 76  0  0
 5  0 147560 99380632  26836 875106048    0    0     0  1756 70372 30911 20  1 79  0  0
 3  0 147560 99379104  26836 875106112    0    0     0     0 52945 26072 15  1 85  0  0
 4  0 147560 99379728  26836 875106112    0    0     0     0 207393 17680 24  1 74  0  0
 3  0 147560 99379984  26836 875106112    0    0     0    82 50459 15826 16  0 84  0  0
 3  0 147560 99379928  26836 875106112    0    0     0   163 57441 14299 18  0 82  0  0
 3  0 147560 99379304  26836 875106112    0    0     0     0 206459 8900 23  1 76  0  0
 3  0 147560 99380656  26836 875106112    0    0     0     0 59577 13816 19  0 81  0  0
130  0 147560 99400880  26836 875106112    0    0     0     9 61226 16748 18  0 82  0  0
131  0 147560 99401600  26836 875106112    0    0     0     3 233488 10157 27  1 72  0  0
 3  0 147560 99401912  26836 875106112    0    0     0   720 60034 15329 19  0 81  0  0
126  0 147560 99272256  26836 875106112    0    0     0     0 141464 12817 18  1 81  0  0
130  0 147560 99400256  26836 875106112    0    0     0     0 154826 9005 18  1 81  0  0
130  0 147560 99399664  26836 875106112    0    0     0   363 124680 12588 15  0 85  0  0
 3  0 147560 99398800  26836 875106048    0    0     0     3 67852 12982 14  0 86  0  0
 3  0 147560 99401792  26836 875106048    0    0     0   402 311867 8054 26  1 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 147560 99398160  26836 875106048    0    0     0  2002 52682 13539 15  0 85  0  0
 3  0 147560 99398144  26836 875106048    0    0     0     0 46621 12668 15  0 85  0  0
130  0 147560 98968048  26836 875106048    0    0     0     0 182047 10833 24  1 76  0  0
130  0 147560 99396576  26836 875106048    0    0     0     2 131515 11668 20  1 79  0  0
130  0 147560 99393672  26836 875106048    0    0     0     0 55317 16155 17  0 83  0  0
130  0 147560 98739888  26836 875106048    0    0     0  1488 181563 12520 27  1 72  0  0
130  0 147560 99393920  26836 875106048    0    0     0     0 108245 9644 15  0 85  0  0
