procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 147560 98616384  26836 875030208    0    0     0     3 52614 16294 17  0 83  0  0
 4  0 147560 98616808  26836 875030208    0    0     0   156 109615 15161 17  0 83  0  0
131  0 147560 97960864  26836 875030208    0    0     0     0 802231 9084 34  1 65  0  0
 5  0 147560 98694576  26836 875030208    0    0     0     0 258190 10997 16  0 83  0  0
131  0 147560 98692136  26836 875030208    0    0     0    12 234864 14551 16  0 83  0  0
 5  0 147560 98621520  26836 875030208   28    0    28   444 99943 13515 15  1 84  0  0
 5  0 147560 98614208  26836 875030208    0    0     0   226 789367 7855 28  1 70  0  0
 5  0 147560 98611632  26836 875030208    0    0     0  1497 54444 12897 15  0 85  0  0
 5  0 147560 98609376  26836 875030208    0    0     0  7896 61904 17377 19  0 81  0  0
 5  0 147560 98610104  26836 875030208    0    0     0  1787 72718 11222 23  1 76  0  0
 5  0 147560 98606144  26836 875030208    0    0     0     3 45974 10645 15  0 84  0  0
 4  0 147560 98602768  26836 875030208    0    0     0     0 54575 14509 18  0 82  0  0
 4  0 147560 98547888  26836 875030208    0    0     0    80 546865 7090 28  1 71  0  0
 4  0 147560 98547280  26836 875030208    0    0     0    55 42751 12183 13  0 86  0  0
131  0 147560 98538080  26836 875030208    0    0     0     3 49527 13377 15  0 84  0  0
131  0 147560 98182432  26836 875030208    0    0     0     0 394588 11856 26  1 73  0  0
131  0 147560 98538320  26836 875030272    0    0     0   253 155228 13068 21  1 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
131  0 147560 98537152  26836 875030272    0    0     0   143 46892 12714 15  0 85  0  0
 5  0 147560 97883872  26836 875030272    0    0     0   444 468031 13458 34  1 65  0  0
 5  0 147560 98537656  26836 875030272    0    0     0    14 48603 13440 16  0 84  0  0
131  0 147560 98538384  26836 875030272    0    0     0     0 49063 12929 16  0 84  0  0
131  0 147560 98903424  26836 875030272    0    0     0     0 241571 16697 18  0 82  0  0
131  0 147560 99525472  26836 875030272    0    0     0  1891 335069 13609 24  1 75  0  0
 6  0 147560 99496304  26836 875030208    0    0     0  2144 56161 23428 15  1 85  0  0
 6  0 147560 99491120  26836 875030208    0    0     0   132 157340 31449 19  1 80  0  0
 6  0 147560 99489056  26836 875030336    0    0     0     0 336658 19905 24  1 75  0  0
132  0 147560 99496992  26836 875030336    0    0     0     0 70919 25865 16  1 83  0  0
133  0 147560 99496768  26836 875030336    0    0     0     0 60277 25125 15  1 84  0  0
 7  0 147560 99100312  26836 875030336    0    0     0     0 970754 20633 34  2 65  0  0
 4  0 147560 99565424  26836 875030336    0    0     0  1812 50932 18103 11  0 88  0  0
 4  0 147560 99565256  26836 875029888    0    0     0   151 49689 11434 12  0 87  0  0
 3  0 147560 99692832  26836 875030336    0    0     0   442 56314 12700 14  0 86  0  0
130  0 147560 99041568  26836 875030336    0    0     0     0 714753 8398 27  1 72  0  0
 3  0 147560 99708376  26836 875030336    0    0     0     0 353836 10362 15  0 85  0  0
 3  0 147560 99714272  26836 875030336    0    0     0   152 61369 15530 15  0 85  0  0
 3  0 147560 99714800  26836 875030336    0    0     0   747 54546 14240 15  0 85  0  0
 4  0 147560 99716896  26836 875030336    0    0     0   533 811342 7920 32  1 66  0  0
130  0 147560 99716616  26836 875030336    0    0     0    21 48495 12770 13  0 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
131  0 147560 99717856  26836 875030336    0    0     0  1619 350541 13092 22  1 77  0  0
 3  0 147560 99716976  26836 875030336    0    0     0   104 57805 12583 14  0 86  0  0
 3  0 147560 99715600  26836 875030336    0    0     0     0 59248 13832 15  0 85  0  0
 4  0 147560 99717968  26836 875030336    0    0     0    15 775652 7504 27  1 72  0  0
 3  0 147560 99715640  26836 875030336    0    0     0     3 197709 12287 16  0 84  0  0
 4  0 147560 99715744  26836 875030336    0    0     0     0 153508 14190 17  0 83  0  0
131  0 147560 99050560  26836 875030336    0    0     0    32 990137 8978 27  1 71  0  0
 3  0 147560 99705840  26836 875030336    0    0     0  1476 379135 9685 17  1 83  0  0
 3  0 147560 99705512  26836 875030336    0    0     0     0 109985 14101 16  0 84  0  0
130  0 147560 99705888  26836 875030336    0    0     0     2 73509 12098 14  0 85  0  0
 4  0 147560 99708560  26836 875030336    0    0     0    76 749584 9581 28  1 70  0  0
 4  0 147560 99544768  26836 875030336    0    0     0    13 73238 18434 19  1 81  0  0
 5  0 147560 99452816  26836 875030336    0    0     0     0 60205 16989 17  0 82  0  0
 4  0 147560 99291056  26836 875030336    0    0     0   348 769856 11075 27  1 72  0  0
 9  0 147560 99145328  26836 875030400    0    0     0     0 50600 13998 13  0 86  0  0
 5  0 147560 99113200  26836 875030400    0    0     0     0 50441 14599 13  0 86  0  0
135  0 147560 99048344  26836 875030400    0    0     0     0 138054 19172 20  0 79  0  0
 6  0 147560 98943032  26836 875030400    0    0     0     0 678291 12341 33  1 66  0  0
 4  0 147560 98778080  26836 875030400    0    0     0  2022 59033 18735 17  0 82  0  0
 4  0 147560 98724664  26836 875030400    0    0     0     0 49126 14911 14  0 85  0  0
 4  0 147560 98726720  26836 875030400    0    0     0     0 701733 8651 27  1 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 147560 98726304  26836 875030400    0    0     0     0 58004 14588 16  0 84  0  0
 3  0 147560 98723872  26836 875030400    0    0     0     9 55496 15225 17  0 83  0  0
131  0 147560 98064128  26836 875030400    0    0     0    88 812728 12705 30  2 69  0  0
 3  0 147560 98722536  26836 875030400    0    0     0     0 341855 12363 20  1 80  0  0
 4  0 147560 98728192  26836 875030400    0    0     0     0 165936 12826 14  0 85  0  0
131  0 147560 98729440  26836 875030400    0    0     0    14 113482 13920 16  0 84  0  0
 3  0 147560 98723552  26836 875030400    0    0     0     9 901848 8913 30  1 69  0  0
130  0 147560 98723744  26836 875030400    0    0     0   441 95923 15371 19  0 81  0  0
130  0 147560 98723880  26836 875030400    0    0     0     0 252891 13240 20  0 79  0  0
 3  0 147560 98719448  26836 875030400    0    0     0  3100 520246 11766 25  1 74  0  0
 3  0 147560 98719696  26836 875030400    0    0     0    13 56342 14091 18  0 82  0  0
 3  0 147560 98720448  26836 875030400    0    0     0     0 53541 14352 16  0 83  0  0
 3  0 147560 98723216  26836 875030400    0    0     0   142 677451 10340 30  1 69  0  0
 3  0 147560 98729288  26836 875030400    0    0     0   120 54602 15974 17  0 83  0  0
 3  0 147560 98263144  26836 875030400    0    0     0    46 576697 11096 29  1 70  0  0
 3  0 147560 98726520  26836 875030400    0    0     0     3 56316 11160 13  0 87  0  0
 3  0 147560 98719136  26836 875030400    0    0     0     0 56569 12373 13  0 87  0  0
132  0 147560 98718432  26836 875030400    0    0     0     0 49640 11656 13  0 87  0  0
 3  0 147560 98722192  26836 875030400    0    0     0  1544 89909 10586 20  1 79  0  0
